year,market,area,f0_19,f20_66,f67,m0_19,m20_66,m67
2004,0,10.64,2095.0,4731.0,1265.0,2109.0,4767.0,907.0
2005,0,10.64,2065.0,4768.0,1303.0,2124.0,4784.0,933.0
2006,0,10.76,2034.0,4738.0,1315.0,2091.0,4786.0,946.0
2007,0,10.8,2006.0,4721.0,1327.0,2056.0,4961.0,973.0
2008,0,10.86,1998.0,4722.0,1352.0,2091.0,4824.0,993.0
2009,0,10.87,1975.0,4722.0,1375.0,2070.0,4775.0,1006.0
2010,0,10.925,1959.0,4736.5,1396.5,2059.5,4781.5,1039.0
2011,0,10.98,1943.0,4751.0,1418.0,2049.0,4788.0,1072.0
2004,1,9.94,1980.0,3779.0,635.0,2005.0,3877.0,380.0
2005,1,9.97,1953.0,3798.0,648.0,2056.0,3887.0,401.0
2006,1,10.39,1976.0,3967.0,682.0,2125.0,4024.0,430.0
2007,1,10.8,2071.0,4154.0,699.0,2235.0,4172.0,469.0
2008,1,10.9,2114.0,4214.0,723.0,2253.0,4257.0,494.0
2009,1,11.08,2098.0,4254.0,752.0,2290.0,4413.0,511.0
2010,1,11.295,2158.5,4365.5,770.0,2323.0,4539.5,538.0
2011,1,11.51,2219.0,4477.0,788.0,2356.0,4666.0,565.0
2004,2,2.31,417.0,958.0,258.0,425.0,1036.0,185.0
2005,2,2.31,396.0,949.0,258.0,421.0,1005.0,193.0
2006,2,2.31,373.0,935.0,266.0,400.0,1004.0,189.0
2007,2,2.31,368.0,906.0,271.0,398.0,974.0,184.0
2008,2,2.31,365.0,898.0,279.0,383.0,947.0,192.0
2009,2,2.31,372.0,888.0,274.0,384.0,947.0,192.0
2010,2,2.31,366.0,891.5,278.0,392.0,943.0,193.0
2011,2,2.31,360.0,895.0,282.0,400.0,939.0,194.0
2004,3,99.32,19149.0,43835.0,11054.0,20237.0,43824.0,7364.0
2005,3,99.35,19179.0,44123.0,11023.0,20347.0,44200.0,7486.0
2006,3,101.98,19480.0,44818.0,11157.0,20473.0,44906.0,7623.0
2007,3,103.78,19749.0,45210.0,11329.0,20605.0,45475.0,7784.0
2008,3,105.96,20168.0,46245.0,11455.0,20930.0,46820.0,7904.0
2009,3,106.37,20307.0,47008.0,11560.0,21155.0,47827.0,8052.0
2010,3,108.095,20479.5,47782.5,11750.5,21387.5,48746.0,8256.5
2011,3,109.82,20652.0,48557.0,11941.0,21620.0,49665.0,8461.0
2004,5,0.67,78.0,170.0,86.0,73.0,183.0,36.0
2005,5,0.66,76.0,164.0,92.0,64.0,181.0,35.0
2006,5,0.7,79.0,165.0,84.0,61.0,184.0,34.0
2007,5,0.7,73.0,158.0,76.0,60.0,187.0,37.0
2008,5,0.74,72.0,145.0,75.0,50.0,181.0,46.0
2009,5,0.74,70.0,147.0,73.0,51.0,181.0,44.0
2010,5,0.745,65.0,151.0,73.0,50.0,174.5,49.5
2011,5,0.75,60.0,155.0,73.0,49.0,168.0,55.0
2004,6,143.11,35568.0,84281.0,20535.0,37438.0,85238.0,13218.0
2005,6,143.22,35873.0,84736.0,20438.0,37720.0,85955.0,13296.0
2006,6,145.86,36473.0,86467.0,20611.0,38253.0,87999.0,13533.0
2007,6,147.44,36729.0,87495.0,20698.0,38398.0,89809.0,13706.0
2008,6,149.8,36996.0,88765.0,20913.0,38659.0,92085.0,13966.0
2009,6,150.29,37280.0,90650.0,20972.0,38938.0,94386.0,14128.0
2010,6,151.935,37534.5,92498.0,21146.0,39284.0,96170.5,14499.0
2011,6,153.58,37789.0,94346.0,21320.0,39630.0,97955.0,14870.0
2004,7,3.87,381.0,698.0,187.0,370.0,720.0,117.0
2005,7,3.87,375.0,693.0,184.0,378.0,726.0,123.0
2006,7,3.92,369.0,705.0,186.0,377.0,742.0,126.0
2007,7,3.92,369.0,701.0,194.0,396.0,733.0,129.0
2008,7,3.92,358.0,706.0,203.0,393.0,776.0,121.0
2009,7,3.92,348.0,711.0,206.0,379.0,792.0,125.0
2010,7,3.97,356.5,736.5,203.5,385.5,818.0,131.0
2011,7,4.02,365.0,762.0,201.0,392.0,844.0,137.0
2004,8,11.6,2504.0,6230.0,1817.0,2658.0,6478.0,1100.0
2005,8,11.6,2460.0,6207.0,1809.0,2610.0,6508.0,1107.0
2006,8,11.6,2471.0,6214.0,1762.0,2593.0,6544.0,1115.0
2007,8,11.6,2482.0,6219.0,1770.0,2560.0,6509.0,1159.0
2008,8,11.6,2451.0,6209.0,1761.0,2532.0,6561.0,1163.0
2009,8,11.6,2438.0,6288.0,1758.0,2514.0,6654.0,1202.0
2010,8,11.6,2436.0,6382.5,1763.5,2547.5,6701.0,1237.0
2011,8,11.6,2434.0,6477.0,1769.0,2581.0,6748.0,1272.0
2004,9,15.96,5067.0,12082.0,2250.0,5492.0,12204.0,1537.0
2005,9,16.01,5141.0,12282.0,2293.0,5591.0,12312.0,1597.0
2006,9,16.64,5284.0,12570.0,2351.0,5747.0,12616.0,1675.0
2007,9,17.03,5388.0,12743.0,2419.0,5735.0,12815.0,1749.0
2008,9,17.36,5426.0,12916.0,2445.0,5760.0,13043.0,1796.0
2009,9,17.47,5432.0,13041.0,2485.0,5778.0,13152.0,1839.0
2010,9,17.705,5459.5,13291.5,2555.0,5808.5,13381.0,1918.5
2011,9,17.94,5487.0,13542.0,2625.0,5839.0,13610.0,1998.0
2004,10,3.02,578.0,1266.0,354.0,629.0,1264.0,250.0
2005,10,3.05,581.0,1275.0,372.0,608.0,1271.0,259.0
2006,10,3.3,624.0,1308.0,364.0,620.0,1299.0,253.0
2007,10,3.4,622.0,1312.0,389.0,585.0,1289.0,267.0
2008,10,3.44,614.0,1327.0,390.0,570.0,1304.0,269.0
2009,10,3.44,612.0,1335.0,392.0,567.0,1337.0,263.0
2010,10,3.495,607.0,1368.5,395.0,584.5,1345.5,265.0
2011,10,3.55,602.0,1402.0,398.0,602.0,1354.0,267.0
2004,11,12.47,1054.0,2532.0,910.0,1062.0,2484.0,548.0
2005,11,12.47,1044.0,2555.0,912.0,1056.0,2538.0,546.0
2006,11,12.94,1050.0,2589.0,909.0,1067.0,2601.0,544.0
2007,11,13.11,1053.0,2602.0,909.0,1075.0,2626.0,553.0
2008,11,13.31,1068.0,2642.0,909.0,1092.0,2659.0,561.0
2009,11,13.31,1051.0,2702.0,930.0,1123.0,2656.0,568.0
2010,11,13.48,1046.0,2716.0,948.0,1151.0,2683.5,578.0
2011,11,13.65,1041.0,2730.0,966.0,1179.0,2711.0,588.0
2004,12,4.69,623.0,1095.0,290.0,691.0,1208.0,176.0
2005,12,4.69,624.0,1085.0,296.0,684.0,1215.0,180.0
2006,12,4.69,621.0,1093.0,293.0,673.0,1225.0,192.0
2007,12,4.69,600.0,1097.0,290.0,661.0,1243.0,191.0
2008,12,4.69,605.0,1128.0,286.0,656.0,1270.0,191.0
2009,12,4.69,587.0,1153.0,289.0,632.0,1317.0,180.0
2010,12,4.69,582.0,1176.0,299.5,654.5,1327.0,188.0
2011,12,4.69,577.0,1199.0,310.0,677.0,1337.0,196.0
2004,13,1.64,132.0,341.0,116.0,160.0,340.0,71.0
2005,13,1.64,135.0,338.0,112.0,158.0,345.0,68.0
2006,13,1.66,134.0,336.0,112.0,152.0,337.0,65.0
2007,13,1.67,130.0,340.0,108.0,151.0,336.0,65.0
2008,13,1.68,131.0,323.0,110.0,151.0,323.0,72.0
2009,13,1.68,128.0,326.0,104.0,144.0,338.0,76.0
2010,13,1.745,125.0,332.5,111.5,146.5,339.5,83.5
2011,13,1.81,122.0,339.0,119.0,149.0,341.0,91.0
2004,14,2.88,424.0,843.0,205.0,387.0,822.0,123.0
2005,14,2.88,435.0,847.0,205.0,391.0,809.0,137.0
2006,14,2.95,431.0,877.0,205.0,404.0,829.0,137.0
2007,14,2.98,422.0,885.0,214.0,421.0,856.0,140.0
2008,14,3.03,417.0,891.0,222.0,421.0,864.0,150.0
2009,14,3.04,417.0,885.0,228.0,409.0,884.0,153.0
2010,14,3.085,412.0,901.5,237.5,416.5,896.5,156.0
2011,14,3.13,407.0,918.0,247.0,424.0,909.0,159.0
2004,15,7.74,1565.0,3111.0,805.0,1646.0,3186.0,521.0
2005,15,7.74,1530.0,3137.0,821.0,1647.0,3190.0,535.0
2006,15,7.87,1528.0,3162.0,825.0,1656.0,3226.0,540.0
2007,15,8.02,1569.0,3200.0,832.0,1684.0,3298.0,541.0
2008,15,8.45,1648.0,3326.0,878.0,1712.0,3532.0,574.0
2009,15,8.48,1680.0,3383.0,884.0,1695.0,3660.0,575.0
2010,15,8.53,1677.0,3469.0,885.0,1727.5,3730.5,602.5
2011,15,8.58,1674.0,3555.0,886.0,1760.0,3801.0,630.0
