date,phid,chain,storesize,sale,nobs,packages,market
2004-03-01,1,1,450.0,2061176.63,4358,6029.9,0
2004-03-01,2,2,539.0,1850057.37,3999,5971.0,1
2004-03-01,3,1,419.0,787220.71,1773,2359.0,2
2004-03-01,4,3,583.0,1493831.76,2567,3654.106,3
2004-03-01,5,2,257.0,1249405.05,2514,3552.3,3
2004-03-01,6,2,273.0,1822493.5,3601,5292.506,3
2004-03-01,11,1,122.0,1184325.67,2752,3764.821,5
2004-03-01,12,3,400.0,2241024.89,4796,6431.0,6
2004-03-01,14,2,105.0,496317.12,1035,1307.8,7
2004-03-01,15,2,156.0,650308.17,1561,2143.286,8
2004-03-01,16,2,203.0,1704036.56,3843,5165.599,6
2004-03-01,17,3,285.0,1771403.74,3849,4867.3,6
2004-03-01,18,2,476.0,3630001.81,7270,9528.733,6
2004-03-01,19,4,152.0,913806.61,2215,2925.0,6
2004-03-01,20,1,603.0,2386542.29,5644,7327.514,6
2004-03-01,21,3,440.0,752839.51,1672,2132.2,6
2004-03-01,22,2,333.0,2470208.42,5207,7284.0,6
2004-03-01,23,3,274.0,2705787.24,5498,7275.0,6
2004-03-01,24,3,136.0,740294.54,1567,2099.0,6
2004-03-01,25,2,97.0,721457.98,2006,2466.0,6
2004-03-01,26,3,665.0,2405579.15,5297,7006.665,6
2004-03-01,27,5,1967.0,4414211.05,3669,4882.665,6
2004-03-01,28,3,360.0,938379.39,2147,2837.26,6
2004-03-01,29,3,393.0,2118595.27,4485,5978.006,6
2004-03-01,30,2,170.0,894764.02,1856,2506.0,6
2004-03-01,31,4,200.0,1205741.93,2362,3159.6,6
2004-03-01,32,3,171.0,1203813.12,2191,2969.348,6
2004-03-01,33,2,562.0,2229428.38,4033,5795.7,6
2004-03-01,34,2,56.0,1117882.19,2918,3933.53,9
2004-03-01,35,2,250.0,1056479.91,2412,3275.5,9
2004-03-01,36,2,150.0,580937.46,1040,1496.0,9
2004-03-01,37,1,454.0,1427552.0,3190,4592.3,9
2004-03-01,38,5,511.0,2678228.07,1570,2455.916,9
2004-03-01,39,1,79.0,381152.23,883,1204.5,9
2004-03-01,42,2,390.0,1647847.32,3561,5068.5,10
2004-03-01,50,1,154.0,891813.88,2148,2809.3,11
2004-03-01,51,2,255.0,1102187.37,2484,3252.15,12
2004-03-01,52,2,116.0,530191.99,1070,1416.8,13
2004-03-01,62,1,231.0,983764.92,2204,2840.486,14
2004-03-01,65,1,479.0,2420614.8,5237,7343.85,15
2004-03-01,66,3,378.0,3037813.36,5714,7471.0,16
2004-03-01,67,5,500.0,1296395.34,1273,1903.55,16
2004-03-01,68,4,200.0,545354.53,1268,1791.0,17
2004-03-01,69,1,227.0,1041852.19,2239,3069.035,18
2004-03-01,70,2,382.0,1471814.84,2832,4093.0,19
2004-03-01,71,2,449.0,1117728.96,2566,3750.5,20
2004-03-01,73,3,328.0,2573773.39,5505,7395.967,6
2004-03-01,74,2,311.0,1390700.82,2576,3595.3,21
2004-03-01,75,1,317.0,1822433.96,3596,4815.6,22
2004-03-01,83,1,67.0,303305.34,852,1018.0,23
2004-03-01,84,3,185.0,1192186.08,2543,3306.86,24
2004-03-01,85,2,390.0,1931543.23,4000,5364.0,115
2004-03-01,86,5,580.0,1109054.35,1193,1675.916,115
2004-03-01,87,1,175.0,754230.7,1709,2145.5,16
2004-03-01,89,1,273.0,952954.67,2001,2741.0,25
2004-03-01,90,1,80.0,587082.27,1253,1694.0,16
2004-03-01,91,1,350.0,1572389.65,3363,4611.0,16
2004-03-01,92,2,100.0,1052978.15,2369,3234.06,16
2004-03-01,93,5,330.0,656552.56,1158,1458.163,16
2004-03-01,94,2,142.0,754708.88,1499,1978.2,26
2004-03-01,95,3,170.0,709472.48,1654,1971.311,27
2004-03-01,96,4,184.0,1168472.94,2256,3240.24,117
2004-03-01,97,4,400.0,814304.42,1829,2598.0,117
2004-03-01,98,1,474.0,1506635.97,2933,4110.0,3
2004-03-01,99,2,260.0,974163.88,1824,2475.0,28
2004-03-01,100,2,266.0,1124211.16,2200,2980.0,29
2004-03-01,104,3,452.0,1270912.19,2965,3744.245,16
2004-03-01,105,5,200.0,1146804.65,1823,2691.179,16
2004-03-01,106,2,330.0,1224459.12,2335,3279.0,16
2004-03-01,107,2,62.0,1071573.67,2441,3262.0,16
2004-03-01,108,2,250.0,1234243.04,2636,3634.0,30
2004-03-01,109,3,214.0,1243477.76,2326,3138.3,31
2004-03-01,110,2,156.0,469218.73,1176,1505.25,32
2004-03-01,111,2,299.0,1775247.61,3782,5182.0,33
2004-03-01,112,1,463.0,1637741.69,3618,5020.0,33
2004-03-01,113,3,245.0,1915354.18,4022,5376.992,34
2004-03-01,114,2,440.0,1625695.16,3151,4317.021,34
2004-03-01,115,5,378.0,4342791.76,3355,5008.488,34
2004-03-01,116,1,313.0,866102.69,1984,2742.0,35
2004-03-01,117,2,144.0,1039338.35,2162,2929.0,36
2004-03-01,118,1,126.0,1017649.44,2687,3610.06,37
2004-03-01,119,3,123.0,542397.05,1118,1477.0,38
2004-03-01,120,3,87.0,714805.18,1398,1864.0,39
2004-03-01,122,3,257.0,1143976.07,2569,3651.2,40
2004-03-01,123,1,200.0,548478.39,1298,1698.56,41
2004-03-01,124,2,250.0,1508996.95,3035,4439.913,25
2004-03-01,125,3,137.0,548816.39,1322,1675.5,42
2004-03-01,126,1,236.0,1839784.53,3889,5038.111,39
2004-03-01,127,2,405.0,1628968.62,3125,4148.297,34
2004-03-01,128,3,274.0,1130285.42,2618,3416.657,34
2004-03-01,129,2,158.0,1373367.23,2635,3695.1,34
2004-03-01,130,2,212.0,1251800.25,2446,3295.25,25
2004-03-01,136,1,201.0,2190952.26,4607,6252.98,43
2004-03-01,137,2,330.0,1313742.93,2886,3849.2,3
2004-03-01,138,2,327.0,1244637.13,2570,3433.408,3
2004-03-01,139,2,213.0,1430578.17,3344,4530.81,3
2004-03-01,140,1,800.0,3164228.46,6724,9282.53,3
2004-03-01,141,1,156.0,772459.09,1817,2395.629,3
2004-03-01,142,1,115.0,1017129.29,2424,3167.286,3
2004-03-01,143,2,218.0,1024249.75,2436,3377.467,8
2004-03-01,144,2,491.0,2145073.66,4442,6372.119,8
2004-03-01,145,5,290.0,1389655.04,1926,2614.642,8
2004-03-01,146,3,357.0,1462114.7,3089,4078.5,116
2004-03-01,147,2,186.0,775718.18,1499,2177.0,21
2004-03-01,148,1,240.0,1648118.47,3739,5109.653,44
2004-03-01,149,4,350.0,1561405.11,3627,4894.0,45
2004-03-01,154,2,530.0,2500999.35,5499,7982.773,46
2004-03-01,155,1,300.0,1441913.86,2884,3868.18,42
2004-03-01,156,1,128.0,1131831.33,2325,3153.199,42
2004-03-01,159,1,434.0,1003471.8,2211,2888.315,16
2004-03-01,160,1,182.0,1030765.4,2446,3123.25,16
2004-03-01,161,3,337.0,814993.55,1865,2406.0,16
2004-03-01,162,5,190.0,1080316.61,1221,1791.705,16
2004-03-01,163,1,225.0,1604434.69,3077,4142.281,3
2004-03-01,164,2,500.0,2237433.95,4485,6312.131,6
2004-03-01,165,2,93.0,351464.5,811,1056.0,47
2004-03-01,166,2,210.0,1079171.44,2393,3430.25,19
2004-03-01,167,1,230.0,1129691.52,2522,3189.0,48
2004-03-01,168,2,258.0,909786.7,2035,2808.8,49
2004-03-01,171,1,178.0,1415046.3,3027,3930.3,16
2004-03-01,172,2,129.0,788771.59,1573,2117.0,50
2004-03-01,173,2,407.0,2763281.03,5481,7886.0,51
2004-03-01,175,2,264.0,1206296.16,2636,3520.55,50
2004-03-01,176,1,236.0,1354240.3,3089,4486.7,52
2004-03-01,177,2,192.0,998755.67,2181,2861.3,53
2004-03-01,180,2,283.0,1314847.4,2947,3875.547,24
2004-03-01,181,5,560.0,1457111.94,2249,3126.994,24
2004-03-01,185,2,257.0,731113.0,1670,2258.0,54
2004-03-01,186,2,600.0,2577386.32,4758,6253.22,55
2004-03-01,187,2,325.0,2177199.95,4025,5590.0,56
2004-03-01,189,3,509.0,963652.03,2279,2953.375,27
2004-03-01,191,1,330.0,1396392.53,3139,4302.9,57
2004-03-01,193,1,261.0,841426.29,2033,2598.686,11
2004-03-01,194,1,440.0,2111170.19,4190,5686.683,58
2004-03-01,195,1,300.0,1070192.72,2452,3398.0,59
2004-03-01,196,2,324.0,825763.79,1942,2849.0,60
2004-03-01,197,2,300.0,1524168.37,3646,4734.5,61
2004-03-01,198,1,320.0,2037784.34,4479,6133.0,62
2004-03-01,200,3,342.0,1681210.56,3893,4889.8,63
2004-03-01,201,1,158.0,1089127.7,2455,3334.645,64
2004-03-01,204,1,0.0,2074393.07,4367,6123.083,50
2004-03-01,205,2,211.0,918313.29,1593,2100.4,6
2004-03-01,206,2,327.0,1518495.77,3307,4252.0,6
2004-03-01,252,2,200.0,764087.29,1368,1922.0,28
2004-03-01,253,2,248.0,590405.43,1484,2005.0,65
2004-03-01,257,1,90.0,1346732.82,2965,3867.16,66
2004-03-01,258,2,472.0,2355986.77,4623,6259.17,66
2004-03-01,259,1,220.0,1010259.66,2395,3083.0,25
2004-03-01,260,1,256.0,888827.17,2050,2686.75,67
2004-03-01,261,1,433.0,1021891.59,2056,2894.25,59
2004-03-01,262,3,325.0,2100924.11,4448,6154.5,39
2004-03-01,263,3,457.0,2761304.12,5706,7831.878,39
2004-03-01,264,2,579.0,2253391.17,4582,6613.0,16
2004-03-01,265,1,300.0,1397681.04,3145,4114.2,16
2004-03-01,266,2,130.0,982263.0,2139,2972.427,68
2004-03-01,267,2,202.0,1331120.36,2691,3747.561,69
2004-03-01,269,1,314.0,1438670.33,3008,4236.0,70
2004-03-01,272,4,302.0,1377515.22,2939,4272.8,71
2004-03-01,273,2,164.0,768132.48,1584,2276.45,72
2004-03-01,277,2,330.0,1579170.74,3011,4050.0,25
2004-03-01,278,2,265.0,1295345.81,2717,3660.0,25
2004-03-01,279,2,226.0,1451607.15,2827,3769.0,25
2004-03-01,286,1,156.0,455713.92,1057,1361.0,11
2004-03-01,287,2,310.0,1639309.89,3204,4274.73,73
2004-03-01,288,3,118.0,528763.64,1229,1587.0,50
2004-03-01,299,4,250.0,1160033.66,2904,3816.246,74
2004-03-01,300,3,181.0,888520.47,2204,2873.214,50
2004-03-01,301,2,303.0,1409500.02,3555,3814.498,75
2004-03-01,302,3,275.0,1419684.72,2853,3824.15,25
2004-03-01,303,2,303.0,1775349.03,3647,4847.286,76
2004-03-01,305,2,373.0,1564524.54,3749,5103.0,16
2004-03-01,306,2,215.0,857895.31,2048,2619.0,25
2004-03-01,307,2,265.0,2569048.61,4981,6517.401,25
2004-03-01,308,3,339.0,2210611.02,8240,5927.426,25
2004-03-01,309,1,491.0,2872600.53,5951,7899.2,25
2004-03-01,310,1,263.0,1086850.05,2430,3197.5,25
2004-03-01,311,1,288.0,2152340.72,4450,6029.5,77
2004-03-01,312,1,82.0,1261031.76,2933,3816.872,77
2004-03-01,313,3,486.0,2016272.55,3876,5237.0,50
2004-03-01,315,2,350.0,1978039.34,4100,5527.307,78
2004-03-01,316,3,252.0,908144.63,1809,2515.35,79
2004-03-01,317,2,259.0,1720868.23,3472,4672.0,80
2004-03-01,318,1,226.0,823946.94,1919,2601.6,81
2004-03-01,319,1,195.0,688504.08,1584,2014.7,82
